iter	RMSE	MAE
895	7953.604285	4465.726133
900	7953.564185	4465.664533
905	7953.525457	4465.6032
910	7953.485357	4465.541333
915	7953.444706	4465.480533
920	7953.404056	4465.419733
925	7953.366426	4465.358667
930	7953.325775	4465.298133
935	7953.286772	4465.236533
940	7953.245846	4465.176
945	7953.206293	4465.1152
950	7953.165916	4465.053867
955	7953.127737	4464.991467
960	7953.087634	4464.930667
965	7953.045883	4464.869067
970	7953.006878	4464.808267
975	7952.968423	4464.746667
980	7952.927221	4464.6856
985	7952.886842	4464.6248
990	7952.84921	4464.562933
995	7952.807733	4464.501867
1000	7952.767903	4464.440267
1005	7952.728073	4464.379467
1010	7952.687968	4464.317867
1015	7952.649511	4464.255733
1020	7952.608857	4464.194667
1025	7952.569575	4464.133333
1030	7952.529744	4464.072267
1035	7952.489364	4464.011467
1040	7952.448983	4463.949867
1045	7952.409426	4463.8888
1050	7952.371518	4463.827733
1055	7952.330312	4463.766933
1060	7952.290755	4463.704533
1065	7952.250098	4463.643467
1070	7952.210815	4463.581067
1075	7952.171532	4463.520267
1080	7952.13115	4463.4592
1085	7952.091042	4463.397867
1090	7952.052582	4463.337067
1095	7952.0111	4463.276
1100	7951.971816	4463.214133
1105	7951.932806	4463.152267
1110	7951.893521	4463.091467
1115	7951.851489	4463.030933
1120	7951.812479	4462.970933
1125	7951.773743	4462.9088
1130	7951.733908	4462.847467
1135	7951.692974	4462.785867
1140	7951.65259	4462.7248
1145	7951.613853	4462.663467
1150	7951.573468	4462.602667
1155	7951.535006	4462.5408
1160	7951.495444	4462.479467
1165	7951.453685	4462.417867
1170	7951.414398	4462.3568
1175	7951.37566	4462.295467
1180	7951.335548	4462.233867
1185	7951.295162	4462.173333
1190	7951.2545	4462.112533
1195	7951.215487	4462.050133
1200	7951.177298	4461.9904
1205	7951.136361	4461.928533
1210	7951.096523	4461.867467
1215	7951.05641	4461.8072
1220	7951.017945	4461.7464
1225	7950.977557	4461.6848
1230	7950.936894	4461.623467
1235	7950.897329	4461.562667
1240	7950.856666	4461.5008
1245	7950.817925	4461.439467
1250	7950.777536	4461.377333
1255	7950.73907	4461.316533
1260	7950.69923	4461.254667
1265	7950.658016	4461.193867
1270	7950.619	4461.133067
1275	7950.579434	4461.0704
1280	7950.539318	4461.0096
1285	7950.500026	4460.9488
1290	7950.459086	4460.888267
1295	7950.419245	4460.825867
1300	7950.380502	4460.765333
1305	7950.340935	4460.704267
1310	7950.301642	4460.642667
1315	7950.261251	4460.581867
1320	7950.218935	4460.520533
1325	7950.18184	4460.4592
1330	7950.142547	4460.397867
1335	7950.103253	4460.337333
1340	7950.060662	4460.276
1345	7950.021094	4460.213867
1350	7949.980975	4460.1528
1355	7949.943055	4460.091467
1360	7949.903485	4460.029867
1365	7949.862267	4459.969067
1370	7949.822148	4459.908
1375	7949.783677	4459.845867
1380	7949.743283	4459.785067
1385	7949.704537	4459.7232
1390	7949.663867	4459.662667
